Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
Ulva Hidayat,ulvahidayat362@yahoo.com,88816114128,Male,22,2002,"Gg. Moch. Ramdan No. 28, Bogor, 64044",Gedung Cyber,Office,OnePlus 9,Android,557,10.4,2900,97,1609,18,other,Gen Z,OnePlus,Sore,yahoo.com,Smartfren,Tidak
"Hana Wacana, S.Kom",hanawacanas.kom363@yahoo.com,83183172645,Female,38,1986,"Jl. Yos Sudarso No. 80, Jakarta Pusat, 65799",Warung Fotkop,Cafe,Xiaomi Mi 11,Android,78,1.5,341,11,259,17,sosmed,Millennials,Xiaomi,Sore,yahoo.com,AXIS,Ya
Lintang Simanjuntak,lintangsimanjuntak364@gmail.com,87727193142,Male,45,1979,"Jl. Rajawali Barat No. 95, Tangerang, 89705",Stasiun Blok M BCA,Transportation,iPhone 12,iOS,321,7.9,2159,64,1499,6,e-commerce,Gen X,iPhone,Pagi,gmail.com,XL,Tidak
"Emin Waluyo, S.Ked",eminwaluyos.ked365@gmail.com,88557096341,Male,34,1990,"Jl. Kapten Muslihat No. 2, Jakarta Utara, 26839",Stasiun Boulevard Selatan,Transportation,Xiaomi Mi 11,Android,579,8.6,2539,84,1935,18,other,Millennials,Xiaomi,Sore,gmail.com,Smartfren,Ya
Rika Kusmawati,rikakusmawati366@gmail.com,89723444581,Male,22,2002,"Gang Waringin No. 266, Tangerang Selatan, 24933",Mall Taman Palem,Compound Space,OnePlus 9,Android,382,7.2,1965,67,1341,24,e-commerce,Gen Z,OnePlus,Dini Hari,gmail.com,Tri,Tidak
Oman Tarihoran,omantarihoran367@gmail.com,81955103691,Female,29,1995,"Gang Sukajadi No. 103, Jakarta Timur, 46315",Menara FIF - Kantin 2,Compound Space,Xiaomi Mi 11,Android,516,11.6,2464,82,1767,0,other,Millennials,Xiaomi,Dini Hari,gmail.com,XL,Tidak
Dt. Jaeman Handayani,dt.jaemanhandayani368@outlook.com,85862359501,Female,58,1966,"Jalan Astana Anyar No. 64, Bekasi, 05183",JEC Kedoya,Compound Space,OnePlus 9,Android,598,11.2,2876,85,2477,1,other,Gen X,OnePlus,Dini Hari,outlook.com,Indosat IM3,Ya
drg. Latif Padmasari,drg.latifpadmasari369@gmail.com,89862513736,Female,49,1975,"Gg. Pacuan Kuda No. 1, Jakarta Selatan, 02948",Stay Kopi Kopia,Cafe,OnePlus 9,Android,102,3.9,747,36,408,15,streaming video,Gen X,OnePlus,Sore,gmail.com,Tri,Ya
Maimunah Mandasari,maimunahmandasari370@mail.com,89886541124,Male,34,1990,"Gang Kutai No. 48, Jakarta Pusat, 74378",60 Common House,Cafe,iPhone 12,iOS,165,2.4,816,35,503,14,streaming video,Millennials,iPhone,Siang,mail.com,Tri,Tidak
Yessi Thamrin,yessithamrin371@yahoo.com,89908497347,Female,25,1999,"Jalan Pasteur No. 15, Jakarta Utara, 54351",8TH Brew Coffee Shop,Cafe,iPhone 12,iOS,558,9.8,2765,83,1548,15,other,Gen Z,iPhone,Sore,yahoo.com,Tri,Tidak
"Wirda Samosir, M.Farm",wirdasamosirm.farm372@aol.com,81829746787,Male,22,2002,"Jl. Jakarta No. 482, Tangerang, 39752",Warung Tekko Daan Mogot,Restaurant,Google Pixel 5,Android,561,10.6,2547,86,1823,2,other,Gen Z,Google,Dini Hari,aol.com,XL,Ya
Baktiono Yolanda,baktionoyolanda373@yahoo.com,81482005285,Female,59,1965,"Jalan Sukajadi No. 09, Tangerang, 50559",Menara Satu,Office,Samsung Galaxy S21,Android,511,10.9,2514,91,2335,23,other,Gen X,Samsung,Malam,yahoo.com,Indosat IM3,Tidak
dr. Amalia Iswahyudi,dr.amaliaiswahyudi374@gmail.com,89980416548,Female,25,1999,"Jalan Joyoboyo No. 852, Bekasi, 66346",JEC Kedoya,Compound Space,Google Pixel 5,Android,560,11.3,2947,95,1663,24,other,Gen Z,Google,Dini Hari,gmail.com,Tri,Ya
Ophelia Usamah,opheliausamah375@yahoo.com,88351723495,Male,42,1982,"Jalan Ronggowarsito No. 881, Jakarta Timur, 00907",Sambal Setan,Restaurant,OnePlus 9,Android,69,1.3,434,12,164,18,sosmed,Millennials,OnePlus,Sore,yahoo.com,Smartfren,Tidak
"Kamaria Mustofa, M.Pd",kamariamustofam.pd376@yahoo.com,81630590946,Male,26,1998,"Gg. W.R. Supratman No. 4, Jakarta Selatan, 53201",Warung Tekko Daan Mogot,Restaurant,OnePlus 9,Android,44,1.1,531,17,232,20,sosmed,Gen Z,OnePlus,Malam,yahoo.com,Indosat IM3,Ya
Elma Megantara,elmamegantara377@gmail.com,82128000929,Female,51,1973,"Gg. Pasirkoja No. 739, Bekasi, 15556",Satoru,Restaurant,iPhone 12,iOS,65,1.7,490,17,122,14,sosmed,Gen X,iPhone,Siang,gmail.com,Telkomsel,Tidak
"R. Restu Latupono, S.Ked",r.restulatuponos.ked378@gmail.com,83275230238,Female,31,1993,"Gg. K.H. Wahid Hasyim No. 59, Tangerang, 79262",Sambalado,Restaurant,Google Pixel 5,Android,458,6.0,1875,63,1072,1,e-commerce,Millennials,Google,Dini Hari,gmail.com,AXIS,Ya
Siti Ramadan,sitiramadan379@yahoo.com,85645721213,Male,57,1967,"Jalan Ahmad Dahlan No. 9, Jakarta Pusat, 38736",Warung Tekko Artha Gading,Restaurant,Samsung Galaxy S21,Android,525,10.8,2445,99,1623,8,other,Gen X,Samsung,Pagi,yahoo.com,Indosat IM3,Tidak
Hafshah Utami,hafshahutami380@gmail.com,81301210772,Male,51,1973,"Jalan R.E Martadinata No. 63, Jakarta Timur, 57399",Kopikalyan Wijaya,Cafe,OnePlus 9,Android,106,3.0,922,22,313,19,streaming video,Gen X,OnePlus,Malam,gmail.com,Telkomsel,Tidak
Eva Mansur,evamansur381@gmail.com,85947411805,Male,34,1990,"Gg. Gegerkalong Hilir No. 789, Jakarta Timur, 64343",8TH Brew Coffee Shop,Cafe,iPhone 12,iOS,188,4.6,1767,47,653,22,news,Millennials,iPhone,Malam,gmail.com,XL,Tidak
Luluh Mandasari,luluhmandasari382@gmail.com,88996276390,Male,39,1985,"Jalan Astana Anyar No. 84, Jakarta Utara, 72048",Harton Tower,Office,iPhone 12,iOS,493,10.4,2453,99,1813,21,other,Millennials,iPhone,Malam,gmail.com,Smartfren,Tidak
"Maryadi Simanjuntak, M.Pd",maryadisimanjuntakm.pd383@outlook.com,89979813463,Female,37,1987,"Gang Jayawijaya No. 1, Jakarta Selatan, 30969",Ruuaang Kopi,Cafe,OnePlus 9,Android,84,1.5,373,19,299,2,sosmed,Millennials,OnePlus,Dini Hari,outlook.com,Tri,Ya
Luthfi Hutasoit,luthfihutasoit384@gmail.com,81461824682,Male,30,1994,"Gang Dipatiukur No. 32, Tangerang Selatan, 05598",Mall Taman Palem,Compound Space,OnePlus 9,Android,104,2.9,653,35,322,23,streaming video,Millennials,OnePlus,Malam,gmail.com,Indosat IM3,Tidak
"Dr. Lintang Wasita, S.H.",dr.lintangwasitas.h.385@aol.com,89639275492,Male,28,1996,"Jalan Waringin No. 89, Jakarta Barat, 19805",Warung Tekko Daan Mogot,Restaurant,Samsung Galaxy S21,Android,102,3.0,890,38,548,7,streaming video,Millennials,Samsung,Pagi,aol.com,Tri,Ya
Amalia Puspasari,amaliapuspasari386@gmail.com,88971428116,Female,40,1984,"Jalan Waringin No. 902, Tangerang, 34949",Pard Coffee,Cafe,iPhone 12,iOS,349,6.6,2041,78,1096,5,e-commerce,Millennials,iPhone,Pagi,gmail.com,Smartfren,Tidak
"Aurora Saputra, S.Sos",aurorasaputras.sos387@yahoo.com,82268804831,Male,28,1996,"Gg. Laswi No. 198, Jakarta Pusat, 43594",Dua Coffee @ Tebet,Cafe,OnePlus 9,Android,98,2.0,925,32,457,17,streaming video,Millennials,OnePlus,Sore,yahoo.com,Telkomsel,Ya
Hj. Putri Tamba,hj.putritamba388@gmail.com,82397583128,Male,32,1992,"Gg. Otto Iskandardinata No. 2, Tangerang Selatan, 50061",SMK AL Khairiyah 2,Education Center,Samsung Galaxy S21,Android,72,1.3,461,13,199,5,sosmed,Millennials,Samsung,Pagi,gmail.com,Telkomsel,Ya
Rusman Hutapea,rusmanhutapea389@gmail.com,81534066960,Female,34,1990,"Gg. Peta No. 00, Jakarta Pusat, 22217",Menara Satu,Office,Xiaomi Mi 11,Android,563,11.6,2968,92,2191,1,other,Millennials,Xiaomi,Dini Hari,gmail.com,Indosat IM3,Tidak
Elma Januar,elmajanuar390@outlook.com,82188104484,Female,50,1974,"Gang S. Parman No. 50, Jakarta Timur, 36353",Menara Satu,Office,Xiaomi Mi 11,Android,119,2.8,775,31,313,24,streaming video,Gen X,Xiaomi,Dini Hari,outlook.com,Telkomsel,Tidak
Hafshah Samosir,hafshahsamosir391@gmail.com,82154788085,Male,36,1988,"Gang Kebonjati No. 056, Jakarta Selatan, 45732",The Post Coffee and Eatery,Cafe,OnePlus 9,Android,311,7.9,2231,69,1021,4,e-commerce,Millennials,OnePlus,Dini Hari,gmail.com,Telkomsel,Tidak
Farah Yulianti,farahyulianti392@gmail.com,81869850362,Male,58,1966,"Jl. Rajiman No. 7, Jakarta Selatan, 40439",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,OnePlus 9,Android,337,6.1,1901,76,1359,7,e-commerce,Gen X,OnePlus,Pagi,gmail.com,XL,Tidak
"KH. Artanto Suartini, M.Farm",kh.artantosuartinim.farm393@gmail.com,89535347423,Male,54,1970,"Jl. Gegerkalong Hilir No. 1, Jakarta Utara, 67132",MTM Representative Office,Office,Samsung Galaxy S21,Android,168,3.5,1055,29,313,23,streaming video,Gen X,Samsung,Malam,gmail.com,Tri,Ya
"Agnes Pratama, S.Psi",agnespratamas.psi394@gmail.com,81373247097,Male,53,1971,"Jalan Gegerkalong Hilir No. 05, Jakarta Pusat, 53690",Los Medellin,Cafe,iPhone 12,iOS,331,7.4,2129,66,1459,13,e-commerce,Gen X,iPhone,Siang,gmail.com,Telkomsel,Ya
Arta Lestari,artalestari395@gmail.com,85298416675,Female,45,1979,"Gang M.H Thamrin No. 5, Jakarta Utara, 02863",Dekhad Gandaria,Cafe,Google Pixel 5,Android,589,9.2,2663,84,1774,23,other,Gen X,Google,Malam,gmail.com,Telkomsel,Tidak
Eka Dongoran,ekadongoran396@yahoo.com,81388851080,Male,52,1972,"Gang Sentot Alibasa No. 60, Jakarta Selatan, 75552",Kopi Takua,Cafe,Xiaomi Mi 11,Android,472,6.8,2288,61,1356,6,e-commerce,Gen X,Xiaomi,Pagi,yahoo.com,Telkomsel,Tidak
Sutan Lutfan Haryanti,sutanlutfanharyanti397@yahoo.com,89533192677,Female,27,1997,"Jl. Pacuan Kuda No. 00, Tangerang Selatan, 68983",Liberte Italian Cuisine,Restaurant,Xiaomi Mi 11,Android,78,1.1,437,14,143,6,sosmed,Gen Z,Xiaomi,Pagi,yahoo.com,Tri,Tidak
"Dr. Lidya Dabukke, S.Pt",dr.lidyadabukkes.pt398@gmail.com,85774907907,Male,20,2004,"Jalan Sentot Alibasa No. 2, Tangerang, 63247",Ramen Ten 10 Kramat Jati,Restaurant,iPhone 12,iOS,517,11.6,2798,90,2175,18,other,Gen Z,iPhone,Sore,gmail.com,Indosat IM3,Ya
Michelle Wijaya,michellewijaya399@aol.com,85801245501,Female,43,1981,"Jl. Veteran No. 0, Jakarta Selatan, 26671",SMK AL Khairiyah 2,Education Center,OnePlus 9,Android,41,1.6,323,18,221,16,sosmed,Millennials,OnePlus,Sore,aol.com,Indosat IM3,Tidak
R. Opan Maryati,r.opanmaryati400@yahoo.com,89560890799,Male,29,1995,"Jl. M.H Thamrin No. 91, Jakarta Pusat, 32477",Suasana Kopi Gandaria,Cafe,OnePlus 9,Android,49,1.5,571,10,203,3,sosmed,Millennials,OnePlus,Dini Hari,yahoo.com,Tri,Ya
Gasti Sirait,gastisirait401@gmail.com,81948166788,Male,42,1982,"Jl. Antapani Lama No. 10, Jakarta Pusat, 56737",Menara FIF - Kantin 2,Compound Space,Xiaomi Mi 11,Android,522,11.1,2821,86,1891,23,other,Millennials,Xiaomi,Malam,gmail.com,XL,Tidak
Purwa Hasanah,purwahasanah402@yahoo.com,83893618347,Male,53,1971,"Gg. KH Amin Jasuta No. 37, Bekasi, 43260",Stasiun Boulevard Selatan,Transportation,Google Pixel 5,Android,97,2.7,612,36,508,7,streaming video,Gen X,Google,Pagi,yahoo.com,AXIS,Tidak
Gaduh Zulaika,gaduhzulaika403@outlook.com,85912288880,Male,40,1984,"Gang Dr. Djunjunan No. 905, Tangerang, 20027",JEC Kedoya,Compound Space,iPhone 12,iOS,411,7.4,1960,71,1264,1,e-commerce,Millennials,iPhone,Dini Hari,outlook.com,XL,Tidak
"Jelita Suryono, S.Sos",jelitasuryonos.sos404@aol.com,82214835920,Female,51,1973,"Gg. Surapati No. 54, Depok, 79777",Kantor PC 24,Office,Samsung Galaxy S21,Android,566,8.6,2595,89,1657,13,other,Gen X,Samsung,Siang,aol.com,Telkomsel,Ya
Lidya Nasyidah,lidyanasyidah405@gmail.com,85722350624,Female,22,2002,"Jalan Suryakencana No. 681, Jakarta Barat, 37351",Koridor 01 Halte Kebon Sirih arah Blok M,Transportation,iPhone 12,iOS,559,8.2,2618,84,2102,9,other,Gen Z,iPhone,Pagi,gmail.com,Indosat IM3,Tidak
Zaenab Namaga,zaenabnamaga406@outlook.com,85151183135,Female,43,1981,"Jl. Sukabumi No. 204, Jakarta Selatan, 89491",Menara Satu,Office,Google Pixel 5,Android,478,7.3,2340,69,1017,11,e-commerce,Millennials,Google,Siang,outlook.com,Telkomsel,Tidak
"Tgk. Purwanto Halim, S.Psi",tgk.purwantohalims.psi407@outlook.com,85318680911,Female,25,1999,"Jl. Erlangga No. 59, Tangerang Selatan, 75714",Kedai Inn Taman GBK,Cafe,Xiaomi Mi 11,Android,147,3.2,994,33,567,3,streaming video,Gen Z,Xiaomi,Dini Hari,outlook.com,Telkomsel,Ya
Bakianto Mandasari,bakiantomandasari408@yahoo.com,88923221958,Female,55,1969,"Jalan Waringin No. 01, Jakarta Timur, 47547",Graha Aruna,Office,OnePlus 9,Android,395,7.3,2291,61,1049,9,e-commerce,Gen X,OnePlus,Pagi,yahoo.com,Smartfren,Tidak
Rahmi Riyanti,rahmiriyanti409@gmail.com,81956314234,Female,22,2002,"Gang Merdeka No. 0, Bogor, 51048",Bukan Ruang,Cafe,Samsung Galaxy S21,Android,357,7.8,2289,74,1242,23,e-commerce,Gen Z,Samsung,Malam,gmail.com,XL,Tidak
Elma Usamah,elmausamah410@yahoo.com,81111069012,Male,51,1973,"Jl. Moch. Ramdan No. 5, Tangerang, 67975",Bukan Ruang,Cafe,Google Pixel 5,Android,405,6.9,2366,61,1434,20,e-commerce,Gen X,Google,Malam,yahoo.com,Telkomsel,Tidak
KH. Hairyanto Anggraini,kh.hairyantoanggraini411@mail.com,89523763439,Female,31,1993,"Jl. Waringin No. 444, Jakarta Selatan, 89491",Menara Satu,Office,Samsung Galaxy S21,Android,501,11.8,2790,86,2074,24,other,Millennials,Samsung,Dini Hari,mail.com,Tri,Ya
Humaira Fujiati,humairafujiati412@outlook.com,88495857101,Male,50,1974,"Jl. Tebet Barat Dalam No. 08, Depok, 23868",Warung Fotkop,Cafe,Xiaomi Mi 11,Android,575,8.2,2918,88,1928,20,other,Gen X,Xiaomi,Malam,outlook.com,Smartfren,Tidak
"Jaiman Wijaya, M.Ak",jaimanwijayam.ak413@gmail.com,88509648812,Female,52,1972,"Jalan Kutisari Selatan No. 94, Tangerang Selatan, 52194",Kopi Bojo Plaza Kuningan,Cafe,OnePlus 9,Android,257,5.1,1692,46,769,17,news,Gen X,OnePlus,Sore,gmail.com,Smartfren,Ya
Tedi Hakim,tedihakim414@gmail.com,87775175363,Male,35,1989,"Gang Cikutra Timur No. 91, Jakarta Barat, 74497",Stasiun Velodrome,Transportation,iPhone 12,iOS,270,5.0,1532,51,957,4,news,Millennials,iPhone,Dini Hari,gmail.com,XL,Tidak
Hasim Hakim,hasimhakim415@gmail.com,81788641780,Female,33,1991,"Gang Rumah Sakit No. 1, Bogor, 97368",Stay Kopi Kopia,Cafe,Google Pixel 5,Android,116,2.0,1171,22,573,15,streaming video,Millennials,Google,Sore,gmail.com,XL,Tidak
Tgk. Paramita Halim,tgk.paramitahalim416@yahoo.com,89799665367,Male,56,1968,"Gg. Dipenogoro No. 30, Bekasi, 42392",Gedung Cyber,Office,iPhone 12,iOS,98,2.3,608,24,394,5,streaming video,Gen X,iPhone,Pagi,yahoo.com,Tri,Ya
Drs. Yessi Narpati,drs.yessinarpati417@outlook.com,88802934748,Female,27,1997,"Jl. Waringin No. 9, Jakarta Selatan, 19711",Dua Coffee @ Tebet,Cafe,Xiaomi Mi 11,Android,264,5.1,1293,52,737,2,news,Gen Z,Xiaomi,Dini Hari,outlook.com,Smartfren,Ya
"Puti Oliva Pradipta, S.E.I",putiolivapradiptas.e.i418@gmail.com,81527392080,Female,57,1967,"Jl. Gardujati No. 46, Jakarta Timur, 90388",Ali Kopi Roastery Free Wifi,Cafe,Samsung Galaxy S21,Android,572,11.7,2655,91,2481,19,other,Gen X,Samsung,Malam,gmail.com,Indosat IM3,Ya
Ismail Latupono,ismaillatupono419@gmail.com,85263984434,Female,27,1997,"Gang Joyoboyo No. 903, Tangerang Selatan, 89548",Tuwuh Treats Bintaro,Cafe,Xiaomi Mi 11,Android,202,4.9,1549,43,964,16,news,Gen Z,Xiaomi,Sore,gmail.com,Telkomsel,Tidak
Ridwan Mahendra,ridwanmahendra420@gmail.com,83829175975,Male,46,1978,"Gg. Gegerkalong Hilir No. 5, Depok, 51228",Koridor 01 Halte Sarinah,Transportation,iPhone 12,iOS,83,1.4,454,11,228,11,sosmed,Gen X,iPhone,Siang,gmail.com,AXIS,Tidak
Zalindra Novitasari,zalindranovitasari421@protonmail.com,88358968276,Male,56,1968,"Gg. Cihampelas No. 801, Jakarta Timur, 57978",Liberica Cilandak Town Square,Cafe,iPhone 12,iOS,32,1.4,416,12,198,18,sosmed,Gen X,iPhone,Sore,protonmail.com,Smartfren,Tidak
Kamal Pranowo,kamalpranowo422@gmail.com,85152370072,Male,43,1981,"Jalan Sadang Serang No. 980, Jakarta Barat, 73133",Warung Tekko Kalibata,Restaurant,iPhone 12,iOS,168,3.2,716,38,414,15,streaming video,Millennials,iPhone,Sore,gmail.com,Telkomsel,Tidak
Rafi Nurdiyanti,rafinurdiyanti423@gmail.com,83127654274,Female,22,2002,"Gg. Rajawali Timur No. 43, Tangerang, 58813",MTM Representative Office,Office,iPhone 12,iOS,416,6.1,2115,71,1041,7,e-commerce,Gen Z,iPhone,Pagi,gmail.com,AXIS,Tidak
Maida Saptono,maidasaptono424@gmail.com,88141997301,Female,28,1996,"Jl. Suryakencana No. 38, Tangerang Selatan, 96965",Kopitok Coffee Kemang,Cafe,Xiaomi Mi 11,Android,46,1.1,536,18,167,5,sosmed,Millennials,Xiaomi,Pagi,gmail.com,Smartfren,Tidak
"Tri Budiman, S.Sos",tribudimans.sos425@aol.com,81263248831,Male,24,2000,"Gang W.R. Supratman No. 96, Jakarta Timur, 65488",Conclave Arteri,Office,OnePlus 9,Android,201,5.0,1482,59,709,18,news,Gen Z,OnePlus,Sore,aol.com,Telkomsel,Ya
Jaka Mulyani,jakamulyani426@gmail.com,87838159807,Male,37,1987,"Jalan Otto Iskandardinata No. 39, Jakarta Selatan, 09669",Kantor PC 24,Office,Samsung Galaxy S21,Android,130,2.8,1062,24,579,16,streaming video,Millennials,Samsung,Sore,gmail.com,XL,Tidak
Ian Wahyudin,ianwahyudin427@aol.com,85607689706,Female,44,1980,"Jl. Dipatiukur No. 1, Jakarta Selatan, 77495",Kopitok Coffee Kemang,Cafe,OnePlus 9,Android,98,2.4,747,36,403,0,streaming video,Gen X,OnePlus,Dini Hari,aol.com,Indosat IM3,Tidak
R.M. Balangga Tarihoran,r.m.balanggatarihoran428@mail.com,81758582726,Male,51,1973,"Gg. M.H Thamrin No. 5, Depok, 18207",Liberica Cilandak Town Square,Cafe,OnePlus 9,Android,105,3.8,967,28,489,9,streaming video,Gen X,OnePlus,Pagi,mail.com,XL,Ya
Padma Sihombing,padmasihombing429@outlook.com,89783265122,Male,58,1966,"Gg. Rawamangun No. 613, Jakarta Timur, 76653",Menara Satu,Office,Xiaomi Mi 11,Android,94,2.3,1033,33,369,22,streaming video,Gen X,Xiaomi,Malam,outlook.com,Tri,Tidak
"Tgk. Jaka Pertiwi, S.Pd",tgk.jakapertiwis.pd430@gmail.com,81290382610,Male,37,1987,"Jl. Jayawijaya No. 9, Jakarta Selatan, 68489",Tempat Kita Coffee,Cafe,Xiaomi Mi 11,Android,540,10.1,2757,90,2180,23,other,Millennials,Xiaomi,Malam,gmail.com,Telkomsel,Ya
"Dr. Zahra Pradana, S.Farm",dr.zahrapradanas.farm431@outlook.com,85633067050,Male,22,2002,"Jalan Siliwangi No. 09, Jakarta Utara, 01342",Stay Kopi Kopia,Cafe,iPhone 12,iOS,266,5.5,1238,59,839,22,news,Gen Z,iPhone,Malam,outlook.com,Indosat IM3,Ya
Widya Andriani,widyaandriani432@gmail.com,83386487490,Male,53,1971,"Gang Cikutra Timur No. 9, Jakarta Selatan, 56889",Ruuaang Kopi,Cafe,iPhone 12,iOS,140,3.8,1137,36,506,11,streaming video,Gen X,iPhone,Siang,gmail.com,AXIS,Tidak
Cornelia Hutapea,corneliahutapea433@aol.com,82387364575,Male,51,1973,"Gang Kendalsari No. 6, Bekasi, 76291",Ramen Ya! Gandaria City,Restaurant,Google Pixel 5,Android,534,10.4,2672,90,1702,1,other,Gen X,Google,Dini Hari,aol.com,Telkomsel,Tidak
Wakiman Narpati,wakimannarpati434@yahoo.com,81638197767,Male,42,1982,"Jl. Cihampelas No. 4, Bekasi, 36046",Warung Tekko Daan Mogot,Restaurant,OnePlus 9,Android,46,2.0,309,15,116,1,sosmed,Millennials,OnePlus,Dini Hari,yahoo.com,Indosat IM3,Tidak
R. Gatot Aryani,r.gatotaryani435@gmail.com,81288555072,Male,58,1966,"Jalan Erlangga No. 46, Bekasi, 32766",Sambal Setan,Restaurant,iPhone 12,iOS,581,8.4,2591,99,2304,18,other,Gen X,iPhone,Sore,gmail.com,Telkomsel,Ya
"Hj. Syahrini Susanti, S.I.Kom",hj.syahrinisusantis.i.kom436@gmail.com,81879423519,Female,34,1990,"Gg. Ir. H. Djuanda No. 40, Jakarta Barat, 45465",Kataloji Coffee & Eatery,Cafe,Xiaomi Mi 11,Android,105,3.4,798,21,467,3,streaming video,Millennials,Xiaomi,Dini Hari,gmail.com,XL,Ya
Banawa Pranowo,banawapranowo437@gmail.com,85634276509,Male,20,2004,"Gg. Gedebage Selatan No. 7, Jakarta Timur, 91503",Bleu Coffee and Space,Cafe,OnePlus 9,Android,221,4.4,1341,46,862,20,news,Gen Z,OnePlus,Malam,gmail.com,Indosat IM3,Tidak
"Purwa Waskita, S.E.",purwawaskitas.e.438@gmail.com,89608375711,Male,34,1990,"Jalan Ronggowarsito No. 086, Jakarta Timur, 56941",Kintaro Sushi PIK,Restaurant,iPhone 12,iOS,41,1.7,408,16,291,19,sosmed,Millennials,iPhone,Malam,gmail.com,Tri,Ya
Siska Kusumo,siskakusumo439@outlook.com,88365531154,Female,52,1972,"Jalan BKR No. 88, Bekasi, 76252",Mall Taman Palem,Compound Space,OnePlus 9,Android,105,3.0,728,24,343,19,streaming video,Gen X,OnePlus,Malam,outlook.com,Smartfren,Tidak
Vanesa Megantara,vanesamegantara440@outlook.com,83376844619,Male,18,2006,"Gg. Laswi No. 9, Jakarta Timur, 58918",Galeri Lafayette,Compound Space,Google Pixel 5,Android,123,3.9,915,39,468,19,streaming video,Gen Z,Google,Malam,outlook.com,AXIS,Tidak
Jelita Latupono,jelitalatupono441@gmail.com,85230366054,Female,36,1988,"Jalan Stasiun Wonokromo No. 07, Tangerang, 85858",Liberte Italian Cuisine,Restaurant,Google Pixel 5,Android,260,5.7,1725,56,920,19,news,Millennials,Google,Malam,gmail.com,Telkomsel,Tidak
"Dimas Wahyuni, S.Pd",dimaswahyunis.pd442@gmail.com,88441824711,Male,39,1985,"Gang Gegerkalong Hilir No. 409, Tangerang, 59555",MTM Representative Office,Office,Samsung Galaxy S21,Android,223,5.7,1295,44,751,0,news,Millennials,Samsung,Dini Hari,gmail.com,Smartfren,Ya
"Lurhur Prabowo, M.Pd",lurhurprabowom.pd443@gmail.com,82347424706,Male,33,1991,"Jalan Raya Ujungberung No. 314, Bekasi, 81974",Harton Tower,Office,Google Pixel 5,Android,66,1.1,505,17,218,17,sosmed,Millennials,Google,Sore,gmail.com,Telkomsel,Ya
"Nasim Pranowo, M.TI.",nasimpranowom.ti.444@mail.com,85639698388,Female,29,1995,"Gang Ronggowarsito No. 55, Bekasi, 77907",Warung Tekko Kramat Jati,Restaurant,iPhone 12,iOS,231,4.0,1664,48,724,1,news,Millennials,iPhone,Dini Hari,mail.com,Indosat IM3,Ya
Siska Mandasari,siskamandasari445@aol.com,87732047963,Male,22,2002,"Gang Ciumbuleuit No. 1, Jakarta Barat, 92418",Liberica Cilandak Town Square,Cafe,iPhone 12,iOS,555,8.8,2540,97,2402,2,other,Gen Z,iPhone,Dini Hari,aol.com,XL,Tidak
"Raisa Mulyani, M.Kom.",raisamulyanim.kom.446@gmail.com,85702834675,Male,58,1966,"Gang Waringin No. 985, Jakarta Timur, 02485",Kantor PC 24,Office,Samsung Galaxy S21,Android,378,7.2,1859,61,1318,4,e-commerce,Gen X,Samsung,Dini Hari,gmail.com,Indosat IM3,Ya
"drg. Lintang Habibi, S.E.",drg.lintanghabibis.e.447@gmail.com,81790456204,Male,24,2000,"Jalan Dr. Djunjunan No. 73, Jakarta Utara, 55371",Think Coffee Club,Cafe,OnePlus 9,Android,546,8.8,2852,81,1641,6,other,Gen Z,OnePlus,Pagi,gmail.com,XL,Ya
Devi Habibi,devihabibi448@gmail.com,83852837683,Male,58,1966,"Gg. Kendalsari No. 98, Bogor, 42863",Kopi Bojo Plaza Kuningan,Cafe,Samsung Galaxy S21,Android,234,5.2,1604,58,919,12,news,Gen X,Samsung,Siang,gmail.com,AXIS,Tidak
"R.A. Gilda Putra, M.Farm",r.a.gildaputram.farm449@gmail.com,81996766097,Female,22,2002,"Jl. Suryakencana No. 9, Tangerang Selatan, 01803",Ramen Ten 10 Kramat Jati,Restaurant,Samsung Galaxy S21,Android,152,3.0,617,22,306,13,streaming video,Gen Z,Samsung,Siang,gmail.com,XL,Ya
Safina Utami,safinautami450@gmail.com,81642442100,Female,20,2004,"Jalan Joyoboyo No. 19, Bogor, 73462",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,Google Pixel 5,Android,34,1.2,518,10,170,0,sosmed,Gen Z,Google,Dini Hari,gmail.com,Indosat IM3,Tidak
Muhammad Marbun,muhammadmarbun451@gmail.com,82280494460,Male,56,1968,"Jalan Kebonjati No. 78, Depok, 69815",Los Medellin,Cafe,Samsung Galaxy S21,Android,179,3.5,1114,30,466,7,streaming video,Gen X,Samsung,Pagi,gmail.com,Telkomsel,Tidak
Hj. Uchita Yuniar,hj.uchitayuniar452@gmail.com,89867398353,Male,52,1972,"Gg. Joyoboyo No. 446, Jakarta Timur, 78319",60 Common House,Cafe,OnePlus 9,Android,591,11.8,2953,92,1903,0,other,Gen X,OnePlus,Dini Hari,gmail.com,Tri,Ya
